id,title,company,location,url,source,match_score,description_snippet,scraped_at
469300ba0a6708f5,Software Engineer,Uber,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-uber-4407121231?position=17&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=9zFQaAHoMvkCbxufJ8TQMg%3D%3D,linkedin_mock,60,,2026-04-26T22:54:21.307378
9666edfee48a2fb2,Full Stack Software Engineer - Growth,Substack,"San Francisco, CA",https://www.linkedin.com/jobs/view/full-stack-software-engineer-growth-at-substack-4407108850?position=18&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=xj%2F5dNH9JYQu59UaFiMJrg%3D%3D,linkedin_mock,70,,2026-04-26T22:54:36.091324
fbac956fc027cb83,"Software Engineer, Media Encoding Pipelines (L4)",Netflix,United States,https://www.linkedin.com/jobs/view/software-engineer-media-encoding-pipelines-l4-at-netflix-4373435862?position=19&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=w9Lvl%2Fo7YGSXsxIvGhIw9A%3D%3D,linkedin_mock,60,,2026-04-26T22:54:50.958856
d9225a89961a1722,Software Engineer,Rillet,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-at-rillet-4367074328?position=21&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=JDjiSQLZK%2Bf29xghjoSc9g%3D%3D,linkedin_mock,70,,2026-04-26T22:55:05.267748
55ecfb743a5c2cbb,"Software Engineer, Financial Platform",Chime,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-financial-platform-at-chime-4337884276?position=23&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=v2bRDrDQzjz8YbirOGl0zw%3D%3D,linkedin_mock,70,,2026-04-26T22:55:19.091405
9e8b0ab698cb0796,Software Engineer,Disney Experiences,"Orlando, FL",https://www.linkedin.com/jobs/view/software-engineer-at-disney-experiences-4406895499?position=25&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=k8uuXT4WgepZjqVekXnT2g%3D%3D,linkedin_mock,60,,2026-04-26T22:55:32.897711
fd439cbc78dc57d2,Software Engineer - Java,Mayfield,"Santa Clara, CA",https://www.linkedin.com/jobs/view/software-engineer-java-at-mayfield-4407106259?position=26&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=XRaMjn%2B3QayajsV2NKGlxg%3D%3D,linkedin_mock,70,,2026-04-26T22:55:47.498238
44277a36ce10aa25,"Software Engineer, Offboard Infrastructure",Nuro,"Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-offboard-infrastructure-at-nuro-4374313687?position=27&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=Hn1OOzhnyVVTckLNNPl4Ug%3D%3D,linkedin_mock,70,,2026-04-26T22:56:01.943125
2f2f554f70e547e2,Software Engineer,NOX METALS,"Detroit, MI",https://www.linkedin.com/jobs/view/software-engineer-at-nox-metals-4407131707?position=28&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=PBszY19naqgrUC0cLNERPA%3D%3D,linkedin_mock,60,,2026-04-26T22:56:19.660225
625425d7daf64d37,"Software Engineer, iOS",Tinder,"Palo Alto, CA",https://www.linkedin.com/jobs/view/software-engineer-ios-at-tinder-4324602057?position=29&pageNum=0&refId=YfmiLTBpMOt%2Btgpw%2FLDgfw%3D%3D&trackingId=q4s97E47orT1PgUAp%2Bk9iA%3D%3D,linkedin_mock,70,,2026-04-26T22:56:34.245039
